tipologia_ente;regione;num_siti;data_monitoraggio
Istituti di Istruzione Statale di Ogni Ordine e Grado;Valle d'Aosta/Vallée d'Aoste;31;30/06/2023
Comuni e loro Consorzi e Associazioni;Valle d'Aosta/Vallée d'Aoste;65;30/06/2023
Comuni e loro Consorzi e Associazioni;Liguria;207;30/06/2023
Altre tipologie di Enti;Friuli-Venezia Giulia;171;30/06/2023
Comuni e loro Consorzi e Associazioni;Piemonte;986;30/06/2023
Altre tipologie di Enti;Liguria;121;30/06/2023
Comuni e loro Consorzi e Associazioni;Molise;122;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Campania;462;30/06/2023
Altre tipologie di Enti;Valle d'Aosta/Vallée d'Aoste;53;30/06/2023
Altre tipologie di Enti;Abruzzo;149;30/06/2023
Comuni e loro Consorzi e Associazioni;Basilicata;94;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Lazio;538;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Toscana;331;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Piemonte;367;30/06/2023
Altre tipologie di Enti;Provincia autonoma di Bolzano;118;30/06/2023
Altre tipologie di Enti;Basilicata;57;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Veneto;487;30/06/2023
Altre tipologie di Enti;Puglia;203;30/06/2023
Altre tipologie di Enti;Lazio;884;30/06/2023
Comuni e loro Consorzi e Associazioni;Emilia-Romagna;287;30/06/2023
Altre tipologie di Enti;Provincia autonoma di Trento;182;30/06/2023
Altre tipologie di Enti;Sicilia;317;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Marche;198;30/06/2023
Comuni e loro Consorzi e Associazioni;Veneto;595;30/06/2023
Altre tipologie di Enti;Molise;48;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Sicilia;426;30/06/2023
Comuni e loro Consorzi e Associazioni;Provincia autonoma di Bolzano;61;30/06/2023
Altre tipologie di Enti;Calabria;131;30/06/2023
Comuni e loro Consorzi e Associazioni;Calabria;300;30/06/2023
Comuni e loro Consorzi e Associazioni;Abruzzo;262;30/06/2023
Comuni e loro Consorzi e Associazioni;Lombardia;1351;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Liguria;153;30/06/2023
Altre tipologie di Enti;Piemonte;548;30/06/2023
Altre tipologie di Enti;Lombardia;721;30/06/2023
Altre tipologie di Enti;Umbria;83;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Provincia autonoma di Trento;57;30/06/2023
Comuni e loro Consorzi e Associazioni;Toscana;275;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Basilicata;80;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Molise;38;30/06/2023
Altre tipologie di Enti;Veneto;377;30/06/2023
Comuni e loro Consorzi e Associazioni;Sicilia;295;30/06/2023
Altre tipologie di Enti;Sardegna;161;30/06/2023
Comuni e loro Consorzi e Associazioni;Lazio;311;30/06/2023
Comuni e loro Consorzi e Associazioni;Campania;463;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Puglia;464;30/06/2023
Comuni e loro Consorzi e Associazioni;Umbria;84;30/06/2023
Comuni e loro Consorzi e Associazioni;Provincia autonoma di Trento;164;30/06/2023
Altre tipologie di Enti;Campania;284;30/06/2023
Comuni e loro Consorzi e Associazioni;Marche;183;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Provincia autonoma di Bolzano;88;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Friuli-Venezia Giulia;142;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Umbria;119;30/06/2023
Comuni e loro Consorzi e Associazioni;Puglia;232;30/06/2023
Altre tipologie di Enti;Toscana;276;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Lombardia;942;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Emilia-Romagna;436;30/06/2023
Comuni e loro Consorzi e Associazioni;Sardegna;338;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Sardegna;208;30/06/2023
Comuni e loro Consorzi e Associazioni;Friuli-Venezia Giulia;196;30/06/2023
Altre tipologie di Enti;Marche;159;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Calabria;308;30/06/2023
Istituti di Istruzione Statale di Ogni Ordine e Grado;Abruzzo;121;30/06/2023
Altre tipologie di Enti;Emilia-Romagna;353;30/06/2023
